# Time  F_D  F_L p_front p_back
2.6300000000e+00 -9.6263172928e-03 3.4987075178e-02 -3.5434547510e-02 -2.1574585082e-02
2.6375000000e+00 1.0033508799e-02 -3.5022197342e-02 3.9482309237e-02 2.3487242317e-02
2.6450000000e+00 -9.5273281767e-03 3.5207560673e-02 -3.5723791153e-02 -2.1923034429e-02
2.6525000000e+00 9.9274630009e-03 -3.5443799037e-02 4.1140336888e-02 2.4970745220e-02
2.6600000000e+00 -9.4359541310e-03 3.5491522291e-02 -3.7849154451e-02 -2.3912832311e-02
2.6675000000e+00 9.8356313914e-03 -3.5451423523e-02 4.2899167473e-02 2.6516404785e-02
2.6750000000e+00 -9.3522171338e-03 3.5125602972e-02 -3.8323791826e-02 -2.4390299409e-02
2.6825000000e+00 9.7464607471e-03 -3.4703422081e-02 4.2158398688e-02 2.5791109358e-02
2.6900000000e+00 -9.2625765085e-03 3.4052455160e-02 -3.6474366863e-02 -2.2743423824e-02
2.6975000000e+00 9.6384817495e-03 -3.3461505691e-02 3.9739833337e-02 2.3530793622e-02
2.7050000000e+00 -9.1507361649e-03 3.2835098714e-02 -3.4021213795e-02 -2.0530836801e-02
2.7125000000e+00 9.5122338878e-03 -3.2429779011e-02 3.7333842493e-02 2.1280643972e-02
2.7200000000e+00 -9.0250026096e-03 3.2121836450e-02 -3.1862728266e-02 -1.8594741819e-02
2.7275000000e+00 9.3871341215e-03 -3.2063649979e-02 3.5154160328e-02 1.9251262910e-02
2.7350000000e+00 -8.9134590237e-03 3.2065374512e-02 -2.9756650951e-02 -1.6708483567e-02
2.7425000000e+00 9.2784708718e-03 -3.2244256433e-02 3.2465321276e-02 1.6788574966e-02
2.7500000000e+00 -8.8102400466e-03 3.2321166128e-02 -2.6568229495e-02 -1.3880277790e-02
2.7575000000e+00 9.1801078001e-03 -3.2417959662e-02 2.8360755679e-02 1.3089276711e-02
2.7650000000e+00 -8.7239110304e-03 3.2172819581e-02 -2.2007568573e-02 -9.8056443292e-03
2.7725000000e+00 9.1038888212e-03 -3.1852947855e-02 2.3218649879e-02 8.4263845665e-03
2.7800000000e+00 -8.6539817945e-03 3.1231316099e-02 -1.7040286270e-02 -5.3145350356e-03
2.7875000000e+00 9.0242925887e-03 -3.0786640467e-02 1.8467932492e-02 4.1122431485e-03
2.7950000000e+00 -8.5681286109e-03 3.0253430107e-02 -1.3628152340e-02 -2.2340611489e-03
2.8025000000e+00 8.9304078351e-03 -2.9999900374e-02 1.6340590245e-02 2.1771006248e-03
2.8100000000e+00 -8.4758331428e-03 2.9654001122e-02 -1.3305576158e-02 -1.9110054711e-03
2.8175000000e+00 8.8251450609e-03 -2.9594636263e-02 1.6639373205e-02 2.4118124193e-03
2.8250000000e+00 -8.3653865680e-03 2.9416989207e-02 -1.3984758044e-02 -2.4912154551e-03
2.8325000000e+00 8.7036788396e-03 -2.9463462106e-02 1.6325513502e-02 2.1345537881e-03
2.8400000000e+00 -8.2471029773e-03 2.9211351680e-02 -1.2743980021e-02 -1.3731617100e-03
2.8475000000e+00 8.5870924241e-03 -2.9061110187e-02 1.3391907806e-02 -4.7505595672e-04
2.8550000000e+00 -8.1403513616e-03 2.8541804412e-02 -8.5453719878e-03 2.3998100337e-03
2.8625000000e+00 8.4798013037e-03 -2.8212732515e-02 7.6294010816e-03 -5.5906705933e-03
2.8700000000e+00 -8.0348362436e-03 2.7602030472e-02 -2.1503029137e-03 8.0913257903e-03
2.8775000000e+00 8.3690684654e-03 -2.7315381581e-02 1.0108404623e-03 -1.1405481191e-02
2.8850000000e+00 -7.9282606535e-03 2.6851797456e-02 3.4373804421e-03 1.3014618548e-02
2.8925000000e+00 8.2602400536e-03 -2.6812233446e-02 -3.2695248651e-03 -1.5102316038e-02
2.9000000000e+00 -7.8265924245e-03 2.6605180905e-02 5.8688599478e-03 1.5114628822e-02
2.9075000000e+00 8.1583477560e-03 -2.6767914010e-02 -4.5904922846e-03 -1.6165368558e-02
2.9150000000e+00 -7.7386966244e-03 2.6625689195e-02 6.4326229034e-03 1.5575258434e-02
2.9225000000e+00 8.0829487581e-03 -2.6741021644e-02 -5.4189870302e-03 -1.6833429028e-02
2.9300000000e+00 -7.6820211618e-03 2.6437489697e-02 7.6842665921e-03 1.6705913516e-02
2.9375000000e+00 8.0288031154e-03 -2.6371059781e-02 -7.4501465789e-03 -1.8622197192e-02
2.9450000000e+00 -7.6257526785e-03 2.5854928576e-02 1.0034646669e-02 1.8845236756e-02
2.9525000000e+00 7.9605196635e-03 -2.5656298917e-02 -1.0063583566e-02 -2.0934914743e-02
2.9600000000e+00 -7.5506214900e-03 2.5089851220e-02 1.2533873938e-02 2.1095638241e-02
2.9675000000e+00 7.8771020608e-03 -2.5011995504e-02 -1.2576471173e-02 -2.3114445333e-02
2.9750000000e+00 -7.4650340352e-03 2.4655551292e-02 1.4833220495e-02 2.3103404354e-02
2.9825000000e+00 7.7848125270e-03 -2.4850690774e-02 -1.4821961047e-02 -2.4991090677e-02
2.9900000000e+00 -7.3714826899e-03 2.4689661699e-02 1.6896688188e-02 2.4841156166e-02
2.9975000000e+00 7.6878112042e-03 -2.5001045303e-02 -1.7097478032e-02 -2.6865158622e-02
3.0050000000e+00 -7.2759261713e-03 2.4817184193e-02 1.9592783838e-02 2.7126553700e-02
3.0125000000e+00 7.5924533840e-03 -2.5026851247e-02 -2.0621033305e-02 -2.9861924929e-02
3.0200000000e+00 -7.1838943954e-03 2.4617510246e-02 2.3765486758e-02 3.0747456680e-02
3.0275000000e+00 7.5017203926e-03 -2.4569914021e-02 -2.5103256012e-02 -3.3762827221e-02
3.0350000000e+00 -7.0945543669e-03 2.3887311340e-02 2.7848028279e-02 3.4347502628e-02
3.0425000000e+00 7.4122022671e-03 -2.3700781135e-02 -2.8242866062e-02 -3.6538089248e-02
3.0500000000e+00 -7.0051876936e-03 2.3012043890e-02 2.9690429939e-02 3.5999592669e-02
3.0575000000e+00 7.3198843840e-03 -2.2992475608e-02 -2.8749319261e-02 -3.6996575964e-02
3.0650000000e+00 -6.9097819197e-03 2.2515188537e-02 2.9051214770e-02 3.5435747888e-02
3.0725000000e+00 7.2182932862e-03 -2.2720676489e-02 -2.7275737167e-02 -3.5679343804e-02
3.0800000000e+00 -6.8034583349e-03 2.2389078880e-02 2.7241096143e-02 3.3802333221e-02
3.0875000000e+00 7.1064934170e-03 -2.2688555602e-02 -2.5606690184e-02 -3.4168799813e-02
3.0950000000e+00 -6.6907997246e-03 2.2350951020e-02 2.6312160761e-02 3.2926425787e-02
3.1025000000e+00 6.9954850295e-03 -2.2585983591e-02 -2.5725290775e-02 -3.4232906282e-02
3.1100000000e+00 -6.5871230293e-03 2.2092336579e-02 2.7719505984e-02 3.4109168358e-02
3.1175000000e+00 6.8993133110e-03 -2.2166600845e-02 -2.8087309042e-02 -3.6278077398e-02
3.1250000000e+00 -6.4979049621e-03 2.1523648077e-02 3.0701778816e-02 3.6663349420e-02
3.1325000000e+00 6.8104847829e-03 -2.1564379389e-02 -3.0876995059e-02 -3.8657846938e-02
3.1400000000e+00 -6.4059617120e-03 2.0976878791e-02 3.2865685214e-02 3.8415918134e-02
3.1475000000e+00 6.7102759832e-03 -2.1176701813e-02 -3.1818526052e-02 -3.9311761516e-02
3.1550000000e+00 -6.2972115193e-03 2.0742424189e-02 3.2682002448e-02 3.7993457653e-02
3.1625000000e+00 6.5942526237e-03 -2.1051658003e-02 -3.0447157773e-02 -3.7851637298e-02
3.1700000000e+00 -6.1781983140e-03 2.0594995791e-02 3.0657790559e-02 3.5909176559e-02
3.1775000000e+00 6.4774177640e-03 -2.0782456966e-02 -2.7916741753e-02 -3.5383918739e-02
3.1850000000e+00 -6.0665999743e-03 2.0112625571e-02 2.8202819142e-02 3.3494652649e-02
3.1925000000e+00 6.3728385727e-03 -2.0102051335e-02 -2.5596539098e-02 -3.3169665392e-02
3.2000000000e+00 -5.9658973528e-03 1.9278564628e-02 2.6440107478e-02 3.1745142873e-02
3.2075000000e+00 6.2739993535e-03 -1.9229533554e-02 -2.4182302369e-02 -3.1779706280e-02
3.2150000000e+00 -5.8648931029e-03 1.8445911853e-02 2.5462807573e-02 3.0676332116e-02
3.2225000000e+00 6.1714374428e-03 -1.8529177982e-02 -2.3162343850e-02 -3.0699322796e-02
3.2300000000e+00 -5.7597199102e-03 1.7916108952e-02 2.4400231302e-02 2.9478630828e-02
3.2375000000e+00 6.0671998487e-03 -1.8218001005e-02 -2.1747050847e-02 -2.9214769928e-02
3.2450000000e+00 -5.6571082375e-03 1.7803932882e-02 2.2933643648e-02 2.7876488122e-02
3.2525000000e+00 5.9712712932e-03 -1.8255999168e-02 -2.0233539917e-02 -2.7613916301e-02
3.2600000000e+00 -5.5686073683e-03 1.7858959916e-02 2.1809081144e-02 2.6572613204e-02
3.2675000000e+00 5.8933390567e-03 -1.8206119605e-02 -1.9493915089e-02 -2.6715801580e-02
3.2750000000e+00 -5.4971068096e-03 1.7600795327e-02 2.1716878187e-02 2.6210288587e-02
3.2825000000e+00 5.8268202489e-03 -1.7741467051e-02 -1.9823985145e-02 -2.6776935583e-02
3.2900000000e+00 -5.4292985157e-03 1.6986472455e-02 2.2452408164e-02 2.6562441542e-02
3.2975000000e+00 5.7575801334e-03 -1.7090513299e-02 -2.0519406312e-02 -2.7107081572e-02
3.3050000000e+00 -5.3547930928e-03 1.6383389238e-02 2.2906379383e-02 2.6589686741e-02
3.3125000000e+00 5.6801559484e-03 -1.6592354639e-02 -2.0283910085e-02 -2.6536518959e-02
3.3200000000e+00 -5.2711740065e-03 1.5988637616e-02 2.1900791673e-02 2.5272052759e-02
3.3275000000e+00 5.5932240392e-03 -1.6280276673e-02 -1.8376427325e-02 -2.4466809997e-02
3.3350000000e+00 -5.1785335031e-03 1.5720739773e-02 1.9351808044e-02 2.2611961608e-02
3.3425000000e+00 5.4994780689e-03 -1.6028092492e-02 -1.5414136946e-02 -2.1519836504e-02
3.3500000000e+00 -5.0824339759e-03 1.5450073263e-02 1.6417028634e-02 1.9694521373e-02
3.3575000000e+00 5.4067140083e-03 -1.5708018533e-02 -1.2776700166e-02 -1.8953401690e-02
3.3650000000e+00 -4.9917199270e-03 1.5051480509e-02 1.4342378869e-02 1.7634005585e-02
3.3725000000e+00 5.3234714957e-03 -1.5233369905e-02 -1.1297953233e-02 -1.7488127435e-02
3.3800000000e+00 -4.9137557237e-03 1.4541726705e-02 1.3402428082e-02 1.6630071274e-02
3.3875000000e+00 5.2539067131e-03 -1.4768147481e-02 -1.0685153494e-02 -1.6799208262e-02
3.3950000000e+00 -4.8474571776e-03 1.4198989854e-02 1.2832250345e-02 1.5930705677e-02
