# Time  u_x_TE  u_y_TE
3.9205000000e+01 5.1937814578e-09 2.9696640166e-06
3.9210000000e+01 4.6294210024e-09 2.9517329765e-06
3.9215000000e+01 3.9458794104e-09 2.9350398712e-06
3.9220000000e+01 3.2898463801e-09 2.9207906952e-06
3.9225000000e+01 2.8036977256e-09 2.9101411922e-06
3.9230000000e+01 2.5929121178e-09 2.9039459110e-06
3.9235000000e+01 2.7018434558e-09 2.9025731251e-06
3.9240000000e+01 3.1043954720e-09 2.9058274499e-06
3.9245000000e+01 3.7112691398e-09 2.9129959620e-06
3.9250000000e+01 4.3905694590e-09 2.9230053843e-06
3.9255000000e+01 4.9961453575e-09 2.9346548489e-06
3.9260000000e+01 5.3981011373e-09 2.9468744795e-06
3.9265000000e+01 5.5105167955e-09 2.9589551850e-06
3.9270000000e+01 5.3111825245e-09 2.9706998377e-06
3.9275000000e+01 4.8480392553e-09 2.9824611165e-06
3.9280000000e+01 4.2291239141e-09 2.9950557666e-06
3.9285000000e+01 3.5976288188e-09 3.0095739433e-06
3.9290000000e+01 3.0988446577e-09 3.0271273462e-06
3.9295000000e+01 2.8480247135e-09 3.0485933610e-06
3.9300000000e+01 2.9064953496e-09 3.0744113381e-06
3.9305000000e+01 3.2696912877e-09 3.1044738267e-06
3.9310000000e+01 3.8680698541e-09 3.1381349502e-06
3.9315000000e+01 4.5807992457e-09 3.1743344231e-06
3.9320000000e+01 5.2609804219e-09 3.2118119507e-06
3.9325000000e+01 5.7683238374e-09 3.2493663921e-06
3.9330000000e+01 6.0016140892e-09 3.2861021681e-06
3.9335000000e+01 5.9219339725e-09 3.3216068463e-06
3.9340000000e+01 5.5603705707e-09 3.3560198009e-06
3.9345000000e+01 5.0093810929e-09 3.3899779213e-06
3.9350000000e+01 4.4016642442e-09 3.4244524743e-06
3.9355000000e+01 3.8820272518e-09 3.4605140154e-06
3.9360000000e+01 3.5772425813e-09 3.4990758825e-06
3.9365000000e+01 3.5686345830e-09 3.5406706171e-06
3.9370000000e+01 3.8729385328e-09 3.5853077369e-06
3.9375000000e+01 4.4370720306e-09 3.6324455008e-06
3.9380000000e+01 5.1496871920e-09 3.6810848443e-06
3.9385000000e+01 5.8670492530e-09 3.7299652630e-06
3.9390000000e+01 6.4459357586e-09 3.7778180374e-06
3.9395000000e+01 6.7748256344e-09 3.8236193568e-06
3.9400000000e+01 6.7967992444e-09 3.8667877457e-06
3.9405000000e+01 6.5208290040e-09 3.9072843620e-06
3.9410000000e+01 6.0202206263e-09 3.9455960342e-06
3.9415000000e+01 5.4179780431e-09 3.9826046932e-06
3.9420000000e+01 4.8606105144e-09 4.0193700303e-06
3.9425000000e+01 4.4852064666e-09 4.0568716307e-06
3.9430000000e+01 4.3878334568e-09 4.0957678095e-06
3.9435000000e+01 4.6018269622e-09 4.1362262132e-06
3.9440000000e+01 5.0913629943e-09 4.1778647491e-06
3.9445000000e+01 5.7607086893e-09 4.2198149441e-06
3.9450000000e+01 6.4756101111e-09 4.2608916701e-06
3.9455000000e+01 7.0917527949e-09 4.2998308832e-06
3.9460000000e+01 7.4851655457e-09 4.3355443864e-06
3.9465000000e+01 7.5792351515e-09 4.3673378956e-06
3.9470000000e+01 7.3625297534e-09 4.3950453954e-06
3.9475000000e+01 6.8923497555e-09 4.4190489296e-06
3.9480000000e+01 6.2820592021e-09 4.4401774903e-06
3.9485000000e+01 5.6750530072e-09 4.4595068848e-06
3.9490000000e+01 5.2122702565e-09 4.4781063384e-06
3.9495000000e+01 5.0014080273e-09 4.4967895268e-06
3.9500000000e+01 5.0943789606e-09 4.5159247845e-06
3.9505000000e+01 5.4767789760e-09 4.5353442135e-06
3.9510000000e+01 6.0707871040e-09 4.5543697945e-06
3.9515000000e+01 6.7511788364e-09 4.5719510354e-06
3.9520000000e+01 7.3720907264e-09 4.5868859936e-06
3.9525000000e+01 7.7994265650e-09 4.5980787057e-06
3.9530000000e+01 7.9413701612e-09 4.6047758449e-06
3.9535000000e+01 7.7691520262e-09 4.6067284979e-06
3.9540000000e+01 7.3228391666e-09 4.6042423271e-06
