# Time  v_x_wake  v_y_wake
5.5430000000e+01 1.0254372867e-01 -4.1095655633e-03
5.5435000000e+01 1.0254441306e-01 -4.0922449824e-03
5.5440000000e+01 1.0254456278e-01 -4.0750862010e-03
5.5445000000e+01 1.0254478597e-01 -4.0577547825e-03
5.5450000000e+01 1.0254447394e-01 -4.0405945574e-03
5.5455000000e+01 1.0254423092e-01 -4.0232659611e-03
5.5460000000e+01 1.0254345456e-01 -4.0061063321e-03
5.5465000000e+01 1.0254274614e-01 -3.9887766095e-03
5.5470000000e+01 1.0254150612e-01 -3.9716106999e-03
5.5475000000e+01 1.0254032895e-01 -3.9542711183e-03
5.5480000000e+01 1.0253861861e-01 -3.9370907138e-03
5.5485000000e+01 1.0253696828e-01 -3.9197406199e-03
5.5490000000e+01 1.0253478904e-01 -3.9025591107e-03
5.5495000000e+01 1.0253267131e-01 -3.8852260316e-03
5.5500000000e+01 1.0253002894e-01 -3.8680806108e-03
5.5505000000e+01 1.0252744561e-01 -3.8508024987e-03
5.5510000000e+01 1.0252433878e-01 -3.8337254632e-03
5.5515000000e+01 1.0252129028e-01 -3.8165294593e-03
5.5520000000e+01 1.0251772319e-01 -3.7995423579e-03
5.5525000000e+01 1.0251421447e-01 -3.7824405268e-03
5.5530000000e+01 1.0251018850e-01 -3.7655434002e-03
5.5535000000e+01 1.0250621614e-01 -3.7485249275e-03
5.5540000000e+01 1.0250172625e-01 -3.7317029215e-03
5.5545000000e+01 1.0249728890e-01 -3.7147592034e-03
5.5550000000e+01 1.0249233950e-01 -3.6980158638e-03
5.5555000000e+01 1.0248744361e-01 -3.6811612701e-03
5.5560000000e+01 1.0248203858e-01 -3.6645181570e-03
5.5565000000e+01 1.0247668553e-01 -3.6477807288e-03
5.5570000000e+01 1.0247082692e-01 -3.6312724712e-03
5.5575000000e+01 1.0246502265e-01 -3.6146904835e-03
5.5580000000e+01 1.0245871985e-01 -3.5983526834e-03
5.5585000000e+01 1.0245247224e-01 -3.5819507151e-03
5.5590000000e+01 1.0244572758e-01 -3.5657923729e-03
5.5595000000e+01 1.0243903478e-01 -3.5495674791e-03
5.5600000000e+01 1.0243184740e-01 -3.5335811796e-03
5.5605000000e+01 1.0242471263e-01 -3.5175249769e-03
5.5610000000e+01 1.0241708859e-01 -3.5017035147e-03
5.5615000000e+01 1.0240951730e-01 -3.4858128918e-03
5.5620000000e+01 1.0240145871e-01 -3.4701602899e-03
5.5625000000e+01 1.0239345221e-01 -3.4544517368e-03
5.5630000000e+01 1.0238496460e-01 -3.4389982990e-03
5.5635000000e+01 1.0237653352e-01 -3.4235096289e-03
5.5640000000e+01 1.0236762896e-01 -3.4082926153e-03
5.5645000000e+01 1.0235878222e-01 -3.3930548155e-03
5.5650000000e+01 1.0234946472e-01 -3.3780969687e-03
5.5655000000e+01 1.0234020438e-01 -3.3631241009e-03
5.5660000000e+01 1.0233047843e-01 -3.3484299099e-03
5.5665000000e+01 1.0232081241e-01 -3.3337171986e-03
5.5670000000e+01 1.0231068543e-01 -3.3192741605e-03
5.5675000000e+01 1.0230061738e-01 -3.3048076598e-03
5.5680000000e+01 1.0229009068e-01 -3.2906093880e-03
5.5685000000e+01 1.0227962353e-01 -3.2763932170e-03
5.5690000000e+01 1.0226870539e-01 -3.2624546998e-03
5.5695000000e+01 1.0225785223e-01 -3.2485136268e-03
5.5700000000e+01 1.0224655525e-01 -3.2348656584e-03
5.5705000000e+01 1.0223532468e-01 -3.2212339519e-03
5.5710000000e+01 1.0222365494e-01 -3.2079104846e-03
5.5715000000e+01 1.0221205430e-01 -3.1946152340e-03
5.5720000000e+01 1.0220002226e-01 -3.1816317615e-03
5.5725000000e+01 1.0218806300e-01 -3.1686760737e-03
5.5730000000e+01 1.0217567692e-01 -3.1560263939e-03
5.5735000000e+01 1.0216336237e-01 -3.1433987582e-03
5.5740000000e+01 1.0215062409e-01 -3.1310697293e-03
5.5745000000e+01 1.0213796013e-01 -3.1187603910e-03
5.5750000000e+01 1.0212488053e-01 -3.1067492749e-03
5.5755000000e+01 1.0211187997e-01 -3.0947662057e-03
5.5760000000e+01 1.0209847017e-01 -3.0830940957e-03
5.5765000000e+01 1.0208514114e-01 -3.0714670423e-03
5.5770000000e+01 1.0207140958e-01 -3.0601664087e-03
5.5775000000e+01 1.0205776456e-01 -3.0489263132e-03
5.5780000000e+01 1.0204372671e-01 -3.0380227083e-03
5.5785000000e+01 1.0202977943e-01 -3.0271869795e-03
5.5790000000e+01 1.0201544391e-01 -3.0166876716e-03
5.5795000000e+01 1.0200119913e-01 -3.0062517865e-03
5.5800000000e+01 1.0198657101e-01 -2.9961421715e-03
5.5805000000e+01 1.0197203793e-01 -2.9860883857e-03
5.5810000000e+01 1.0195712976e-01 -2.9763554860e-03
5.5815000000e+01 1.0194231977e-01 -2.9666795818e-03
5.5820000000e+01 1.0192713986e-01 -2.9573283563e-03
5.5825000000e+01 1.0191206092e-01 -2.9480440129e-03
5.5830000000e+01 1.0189662067e-01 -2.9390961475e-03
5.5835000000e+01 1.0188128897e-01 -2.9302320954e-03
5.5840000000e+01 1.0186560630e-01 -2.9217203901e-03
5.5845000000e+01 1.0185003642e-01 -2.9133057995e-03
5.5850000000e+01 1.0183412068e-01 -2.9052475113e-03
5.5855000000e+01 1.0181832024e-01 -2.8972860774e-03
5.5860000000e+01 1.0180218161e-01 -2.8896747519e-03
5.5865000000e+01 1.0178616352e-01 -2.8821539250e-03
5.5870000000e+01 1.0176981471e-01 -2.8749751122e-03
5.5875000000e+01 1.0175358846e-01 -2.8678799616e-03
5.5880000000e+01 1.0173703602e-01 -2.8611204007e-03
5.5885000000e+01 1.0172061000e-01 -2.8544459063e-03
5.5890000000e+01 1.0170386789e-01 -2.8481143933e-03
5.5895000000e+01 1.0168726011e-01 -2.8418827880e-03
5.5900000000e+01 1.0167034577e-01 -2.8360085472e-03
5.5905000000e+01 1.0165356998e-01 -2.8302480339e-03
5.5910000000e+01 1.0163649438e-01 -2.8248535881e-03
5.5915000000e+01 1.0161956244e-01 -2.8195796823e-03
5.5920000000e+01 1.0160234059e-01 -2.8146737919e-03
5.5925000000e+01 1.0158526852e-01 -2.8098866636e-03
5.5930000000e+01 1.0156791276e-01 -2.8054571382e-03
5.5935000000e+01 1.0155070835e-01 -2.8011351605e-03
5.5940000000e+01 1.0153322556e-01 -2.7971593219e-03
5.5945000000e+01 1.0151589893e-01 -2.7932863945e-03
5.5950000000e+01 1.0149830428e-01 -2.7897602765e-03
5.5955000000e+01 1.0148087277e-01 -2.7863433125e-03
5.5960000000e+01 1.0146318128e-01 -2.7832804708e-03
5.5965000000e+01 1.0144565710e-01 -2.7803385153e-03
5.5970000000e+01 1.0142788150e-01 -2.7777631232e-03
5.5975000000e+01 1.0141028091e-01 -2.7753225052e-03
5.5980000000e+01 1.0139243984e-01 -2.7732558918e-03
5.5985000000e+01 1.0137477987e-01 -2.7713258108e-03
5.5990000000e+01 1.0135688549e-01 -2.7697630221e-03
5.5995000000e+01 1.0133917409e-01 -2.7683273432e-03
5.6000000000e+01 1.0132123498e-01 -2.7672480189e-03
5.6005000000e+01 1.0130348488e-01 -2.7662874255e-03
5.6010000000e+01 1.0128551633e-01 -2.7656740630e-03
5.6015000000e+01 1.0126774194e-01 -2.7651755299e-03
5.6020000000e+01 1.0124975574e-01 -2.7650241779e-03
5.6025000000e+01 1.0123196808e-01 -2.7649955259e-03
5.6030000000e+01 1.0121397847e-01 -2.7653255892e-03
5.6035000000e+01 1.0119619645e-01 -2.7657924518e-03
5.6040000000e+01 1.0117822351e-01 -2.7666274532e-03
5.6045000000e+01 1.0116046358e-01 -2.7676058407e-03
